2016-02-19 17:22:53.7035 | VeraHuesBridge.SSDPService | INFO | Sending SSDP setup information... |  
2016-02-19 17:22:53.7035 | VeraHuesBridge.SSDPService | WARN | Error occured in MulticastReceiveCallBack. | A socket operation was attempted to an unreachable network 169.254.7.209:49152 
2016-02-19 17:22:53.8021 | VeraHuesBridge.SetupController | INFO | SetupController GET called (// GET api/setup.xml) |  
2016-02-19 17:22:53.8021 | VeraHuesBridge.SetupController | INFO | SetupController GET returned hue template. |  
2016-02-19 17:25:41.7400 | VeraHuesBridge.SSDPService | INFO | Stopping SSDP Service... |  
2016-02-19 17:25:41.7400 | VeraHuesBridge.SSDPService | INFO | SSDP Service stopped. |  
2016-02-19 17:25:41.7400 | VeraHuesBridge.WebServer | INFO | Webserver stopping... |  
2016-02-19 17:25:41.7400 | VeraHuesBridge.WebServer | INFO | Webserver stopped. |  
2016-02-20 09:41:13.0113 | VeraHuesBridge.SSDPService | INFO | New SSDP Service initiated on IP [239.255.255.250], port [1900] |  
2016-02-20 09:41:13.0639 | VeraHuesBridge.SSDPService | INFO | Starting SSDP Service on IP [239.255.255.250], port [1900]... |  
2016-02-20 09:41:13.0921 | VeraHuesBridge.SSDPService | WARN | Error occured starting SSDP service. | Only one usage of each socket address (protocol/network address/port) is normally permitted 
2016-02-20 09:41:34.3872 | VeraHuesBridge.SSDPService | INFO | New SSDP Service initiated on IP [239.255.255.250], port [1900] |  
2016-02-20 09:41:34.4047 | VeraHuesBridge.SSDPService | INFO | Starting SSDP Service on IP [239.255.255.250], port [1900]... |  
2016-02-20 09:41:34.4047 | VeraHuesBridge.SSDPService | INFO | Joining multicast group on IP [10.10.1.26]... |  
2016-02-20 09:41:34.4047 | VeraHuesBridge.SSDPService | INFO | Starting Multicast Receiver... |  
2016-02-20 09:41:34.4047 | VeraHuesBridge.SSDPService | INFO | SSDP Service started. |  
2016-02-20 10:03:25.4774 | VeraHuesBridge.SSDPService | INFO | New SSDP Service initiated on IP [239.255.255.250], port [1900] |  
2016-02-20 10:03:25.4949 | VeraHuesBridge.SSDPService | INFO | Starting SSDP Service on IP [239.255.255.250], port [1900]... |  
2016-02-20 10:03:25.5183 | VeraHuesBridge.SSDPService | WARN | Error occured starting SSDP service. | Only one usage of each socket address (protocol/network address/port) is normally permitted 
2016-02-20 10:03:41.8873 | VeraHuesBridge.SSDPService | INFO | New SSDP Service initiated on IP [239.255.255.250], port [1900] |  
2016-02-20 10:03:41.9059 | VeraHuesBridge.SSDPService | INFO | Starting SSDP Service on IP [239.255.255.250], port [1900]... |  
2016-02-20 10:03:41.9059 | VeraHuesBridge.SSDPService | INFO | Joining multicast group on IP [10.10.1.26]... |  
2016-02-20 10:03:41.9117 | VeraHuesBridge.SSDPService | INFO | Starting Multicast Receiver... |  
2016-02-20 10:03:41.9117 | VeraHuesBridge.SSDPService | INFO | SSDP Service started. |  
2016-02-20 10:04:07.4850 | VeraHuesBridge.SSDPService | INFO | Received a UDP multicast from IP [239.255.255.250], on port [1900]. |  
2016-02-23 12:19:18.6415 | VeraHuesBridge.SSDPService | INFO | New SSDP Service initiated on IP [239.255.255.250], port [1900] |  
2016-02-23 12:19:18.7118 | VeraHuesBridge.SSDPService | INFO | Starting SSDP Service on IP [239.255.255.250], port [1900]... |  
2016-02-23 12:19:18.7567 | VeraHuesBridge.SSDPService | INFO | Joining multicast group on IP [10.10.1.26]... |  
2016-02-23 12:19:18.7567 | VeraHuesBridge.SSDPService | INFO | Starting Multicast Receiver... |  
2016-02-23 12:19:18.7567 | VeraHuesBridge.SSDPService | INFO | SSDP Service started. |  
2016-02-23 12:19:18.7567 | VeraHuesBridge.WebServer | INFO | New webserver initiated.  Using deviceConfig file [E:\Projects\Visual Studio .NET\Microsoft.NET 4.5\VeraHuesBridge\Test\bin\Debug\DeviceConfig.txt]. |  
2016-02-23 12:19:18.7743 | VeraHuesBridge.Devices | INFO | Created Devices from file [E:\Projects\Visual Studio .NET\Microsoft.NET 4.5\VeraHuesBridge\Test\bin\Debug\DeviceConfig.txt]... |  
2016-02-23 12:19:18.7743 | VeraHuesBridge.Devices | INFO | Loading devices from file [E:\Projects\Visual Studio .NET\Microsoft.NET 4.5\VeraHuesBridge\Test\bin\Debug\DeviceConfig.txt], creating file if it does not exists [True]... |  
2016-02-23 12:19:18.8827 | VeraHuesBridge.Utilities | INFO | Reading JSON file [E:\Projects\Visual Studio .NET\Microsoft.NET 4.5\VeraHuesBridge\Test\bin\Debug\DeviceConfig.txt]... |  
2016-02-23 12:19:19.1552 | VeraHuesBridge.Devices | INFO | Loaded devices from file [E:\Projects\Visual Studio .NET\Microsoft.NET 4.5\VeraHuesBridge\Test\bin\Debug\DeviceConfig.txt]. |  
2016-02-23 12:19:19.1552 | VeraHuesBridge.Devices | INFO | Created [15] Device(s) from file [E:\Projects\Visual Studio .NET\Microsoft.NET 4.5\VeraHuesBridge\Test\bin\Debug\DeviceConfig.txt]. |  
2016-02-23 12:19:19.1552 | VeraHuesBridge.WebServer | INFO | Webserver created.  DeviceConfig holds [15] device(s) |  
2016-02-23 12:19:19.1913 | VeraHuesBridge.WebServer | INFO | Webserver starting up.... |  
2016-02-23 12:19:19.5634 | VeraHuesBridge.WebServerStartup | INFO | Webserver configuration initiated... |  
2016-02-23 12:19:19.7265 | VeraHuesBridge.WebServer | INFO | Webserver started. |  
2016-02-23 12:19:22.1573 | VeraHuesBridge.SSDPService | INFO | Stopping SSDP Service... |  
2016-02-23 12:19:22.1573 | VeraHuesBridge.SSDPService | INFO | SSDP Service stopped. |  
2016-02-23 12:19:22.1573 | VeraHuesBridge.SSDPService | INFO | Received a UDP multicast from IP [239.255.255.250], on port [1900]. |  
2016-02-23 12:19:22.1573 | VeraHuesBridge.WebServer | INFO | Webserver stopping... |  
2016-02-23 12:19:22.1826 | VeraHuesBridge.WebServer | INFO | Webserver stopped. |  
2016-02-23 12:21:01.0966 | VeraHuesBridge.SSDPService | INFO | New SSDP Service initiated on IP [239.255.255.250], port [1900] |  
